phoneCode,region,prefecture,areaName
011,札幌,北海道,北海道江別市、札幌市、北広島市、空知郡南幌町
0123,千歳,北海道,北海道恵庭市、千歳市（東丘の一部を除く。）、苫小牧市丸山
0123,夕張,北海道,北海道夕張市（富野を除く。）
0123,栗山,北海道,北海道夕張市富野、夕張郡
0124,芦別,北海道,北海道芦別市
0125,滝川,北海道,北海道赤平市、歌志内市、砂川市、滝川市、雨竜郡雨竜町、樺戸郡（浦臼町および新十津川町に限る。）、空知郡（上砂川町および奈井江町に限る。）
0126,岩見沢,北海道,北海道岩見沢市（宝水町を除く。）、美唄市、石狩郡新篠津村、樺戸郡月形町
01267,岩見沢,北海道,北海道岩見沢市宝水町、三笠市
0133,石狩,北海道,北海道石狩市
0133,当別,北海道,北海道石狩郡当別町
0134,小樽,北海道,北海道小樽市
0135,余市,北海道,北海道積丹郡、古平郡、余市郡
0135,岩内,北海道,北海道岩内郡、古宇郡
0136,倶知安,北海道,北海道虻田郡（喜茂別町、京極町、倶知安町、ニセコ町、真狩村および留寿都村に限る。）、磯谷郡
0136,寿都,北海道,北海道島牧郡、寿都郡
0137,今金,北海道,北海道久遠郡せたな町（大成区を除く。）、瀬棚郡
0137,八雲,北海道,北海道二海郡八雲町（熊石相沼町、熊石鮎川町、熊石泉岱町、熊石雲石町、熊石大谷町、熊石折戸町、熊石黒岩町、熊石見日町、熊石関内町、熊石平町、熊石畳岩町、熊石館平町、熊石泊川町、熊石鳴神町、熊石西浜町および熊石根崎町を除く。）
01377,八雲,北海道,北海道山越郡
01372,鹿部,北海道,北海道茅部郡鹿部町
01374,森,北海道,北海道茅部郡森町
0138,函館,北海道,北海道函館市、北斗市、亀田郡
0139,松前,北海道,北海道松前郡
0139,江差,北海道,北海道爾志郡、檜山郡
01392,木古内,北海道,北海道上磯郡
01397,奥尻,北海道,北海道奥尻郡
